SicknessName,Symtoms
Alzheimer's disease,"Repeat statements and questions over and over.
Forget conversations, appointments or events.
Misplace items, often putting them in places that don't make sense.
Get lost in places they used to know well.
Eventually forget the names of family members and everyday objects.
Have trouble finding the right words for objects, expressing thoughts or taking part in conversations.
Depression.
Loss of interest in activities.
Social withdrawal.
Mood swings.
Distrust in others.
Anger or aggression.
Changes in sleeping habits.
Wandering.
Loss of inhibitions.
Delusions, such as believing something has been stolen.
 Beta-amyloid is a fragment of a larger protein. When these fragments clump together, they appear to have a toxic effect on neurons and to disrupt communication between brain cells. These clumps form larger deposits called amyloid plaques, which also include other cellular debris.
 Tau proteins play a part in a brain cell's internal support and transport system to carry nutrients and other essential materials. In Alzheimer's disease, tau proteins change shape and organize into structures called neurofibrillary tangles. The tangles disrupt the transport system and cause damage to cells.
Lack of exercise.
Obesity.
Smoking or exposure to secondhand smoke.
High blood pressure.
High cholesterol.
Poorly controlled type 2 diabetes.
Tell someone about being in pain.
Explain symptoms of another illness.
Follow a treatment plan.
Explain medicine side effects.
Inhaling food or liquid into the lungs.
Flu, pneumonia and other infections.
Falls.
Fractures.
Bedsores.
Poor nutrition or dehydration.
Constipation or diarrhea.
Dental problems such as mouth sores or tooth decay.
Exercise regularly.
Eat a diet of fresh produce, healthy oils and foods low in saturated fat, such as a Mediterranean diet.
Follow treatment guidelines to manage high blood pressure, diabetes and high cholesterol.
If you smoke, ask your health care professional for help to quit.
"
Alpha-gal syndrome,"Red meat, such as beef, pork or lamb.
Organ meats.
Products made from mammals, such as gelatins or dairy products.
Hives, itching, or itchy, scaly skin.
Swelling of the lips, face, tongue and throat, or other body parts.
Wheezing or shortness of breath.
Stomach pain, diarrhea, upset stomach or vomiting.
Trouble breathing.
Rapid, weak pulse.
Dizzy or lightheaded feeling.
Drooling and not being able to swallow.
Full-body redness and warmth, called flushing.
Spend a lot of time outdoors.
Have gotten multiple Lone Star tick bites.
Tight, narrow airways.
Swelling of the throat that makes it hard to breathe.
A serious drop in blood pressure, called shock.
Rapid pulse.
Feeling dizzy or lightheaded, or passing out
 Dress to protect yourself when you're in wooded or grassy areas. Wear shoes, long pants tucked into your socks, a long-sleeved shirt, a hat and gloves. Also try to stick to trails and avoid walking through low bushes and long grass. If you have a dog, keep it on a leash too.
 Apply insect repellent with a 20% or higher concentration of the ingredient DEET to your skin. If you're a parent, put the bug spray on your children. Avoid their hands, eyes and mouths. Keep in mind that chemical repellents can be toxic, so follow directions carefully. Apply products with the ingredient permethrin to clothing, or buy pre-treated clothing.
 Clear brush and leaves where ticks live. Keep woodpiles in sunny areas.
 Be watchful after you spend time in wooded or grassy areas.
 Ticks often stay on your skin for hours before they attach themselves. Shower and use a washcloth to try to remove any ticks.
 Gently grasp the tick near its head or mouth. Don't squeeze or crush the tick. Pull it off with a careful, steady grip. Once you've removed the entire tick, throw it out. Put on an antiseptic where it bit you. That can help prevent an illness.
"
Amyotrophic lateral sclerosis (ALS),"Trouble walking or doing usual daily activities.
Tripping and falling.
Weakness in the legs, feet or ankles.
Hand weakness or clumsiness.
Slurred speech or trouble swallowing.
Weakness associated with muscle cramps and twitching in the arms, shoulders and tongue.
Untimely crying, laughing or yawning.
Thinking or behavioral changes.
 For about 10% of people with 
, a risk gene was passed down from a family member. This is called hereditary 
. In most people with hereditary 
, their children have a 50% chance of inheriting the gene.
 Risk increases with age up to age 75. 
 is most common between the ages of 60 and the mid-80s.
 Before the age of 65, slightly more men than women develop 
. This sex difference disappears after age 70.
 Evidence supports that smoking is an environmental risk factor for 
. Women who smoke seem to be at even higher risk, particularly after menopause.
 Some evidence suggests that exposure to lead or other substances in the workplace or at home might be linked to 
. Much study has been done, but no one agent or chemical has been consistently associated with 
.
 Studies indicate that people who have served in the military are at higher risk of 
. It's not clear what about military service might trigger 
. It might include exposure to certain metals or chemicals, traumatic injuries, viral infections, or intense exertion.
"
Dry socket,"Severe pain within a few days after removing a tooth.
Loss of part or all of the blood clot at the tooth removal site. The socket may look empty.
Bone that you can see in the socket.
Pain that spreads from the socket to your ear, eye, temple or neck on the same side of your face as the tooth removal.
Bad breath or a foul odor coming from your mouth.
Bad taste in your mouth.
Bacteria that gets into the socket.
Injury at the surgical site when tooth removal is difficult. This can happen with irregular wisdom tooth development or position, called an impacted wisdom tooth.
 Chemicals in cigarettes or other forms of tobacco may prevent or slow healing. These chemicals can get into the wound site. Also, the act of sucking on a cigarette may cause the blood clot to come out too early.
 High estrogen levels from birth control pills may cause problems with healing and increase the risk of dry socket.
 Not following home-care instructions and having poor mouth care may increase the risk of dry socket.
 Current or previous infections around the area where the tooth was removed increase the risk of dry socket.
Look for a dentist or oral surgeon with experience in removing teeth.
Practice good oral care by brushing your teeth twice a day and flossing once a day. Good oral care before surgery keeps your teeth and gums clean and removes bacteria.
If you smoke or use other tobacco products, try to stop smoking before your tooth is removed. Smoking and using other tobacco products increase your risk of dry socket. Talk to your doctor or other health care professional about a program to help you quit for good.
Talk to your dentist or oral surgeon about any prescription medicines, medicines you can buy off the shelf, herbs, or other supplements you're taking. Some may cause problems with blood clotting.
Dressing with medicine to put on the wound after surgery.
Antibacterial mouthwashes or gels immediately before and after surgery.
Antiseptic solutions to put on the wound.
Oral antibiotics, usually only if you have a weakened immune system.
 After your surgery, plan to rest for that day. Follow instructions from your dentist or oral surgeon about when you can return to your usual activities. Also follow instructions about how long to avoid vigorous exercise and sports that might cause the blood clot to come out of the socket.
 Put cold packs on the outside of your face on the first day after tooth removal. After the first day, warm packs may help. Cold and warm packs can help decrease pain and swelling. Follow instructions from your dentist or oral surgeon about putting cold or heat on your face. Take pain medicines as prescribed.
 Drink lots of water after the surgery. Avoid alcoholic, caffeinated, carbonated or hot beverages for as long as recommended. Do not drink with a straw for at least a week. The sucking action may cause the blood clot to come out of the socket.
 Eat only soft foods, such as yogurt or applesauce, for the first day. Be careful with hot and cold liquids or biting your cheek until the numbness wears off. When you feel ready, start eating foods that do not need a lot of chewing. Avoid chewing on the surgery side of your mouth.
 After surgery, you may gently rinse your mouth and brush your teeth, but avoid the site where the tooth was removed for the first 24 hours. After the first 24 hours, gently rinse your mouth with warm salt water several times a day for a week after your surgery. Mix 1/2 teaspoon (2.5 milliliters) of table salt in 8 ounces (237 milliliters) of water. Follow the instructions from your dentist or oral surgeon.
 If you smoke or use tobacco, do not do so for at least 48 hours after surgery and as long as you can after that. Using tobacco products after oral surgery can slow healing and increase the risk of complications.
"
Shellfish allergy,"Hives
Itchy, irritated skin
Nasal stuffiness (congestion)
Swelling of the lips, face, tongue and throat, or other parts of the body
Wheezing or trouble breathing
Coughing and choking or a tight feeling in the throat
Belly (abdominal) pain, diarrhea, nausea or vomiting
Dizziness, lightheadedness or fainting
A swollen throat or tongue or a tightness in the throat (airway constriction) that makes it difficult for you to breathe
Coughing, choking or wheezing with trouble breathing
Shock, with a severe drop in your blood pressure and a rapid or weak pulse
Severe skin rash, hives, itching or swelling
Nausea, vomiting or diarrhea
Dizziness, lightheadedness or fainting
 include crabs, lobster, crayfish, shrimp and prawn
 include squid, octopus, mussels, snails, clams, oysters, abalone and scallops
Asthma
Allergic reactions to very small amounts of shellfish (extreme sensitivity)
History of food-induced anaphylaxis
Strong family history of allergy
 When dining at restaurants, always check to make sure that the pan, oil or utensils used for shellfish aren't also used to prepare other foods, creating cross-contamination. It might be necessary to avoid eating at seafood restaurants, where there's a high risk of cross-contamination.

    

    

    
 You may need to completely avoid places where shellfish are prepared or processed. Some people react after touching shellfish or inhaling steam from cooking shellfish.
"
Peanut allergy,"Skin reactions, such as hives, redness or swelling
Itching or tingling in or around the mouth and throat
Digestive problems, such as diarrhea, stomach cramps, nausea or vomiting
Tightening of the throat
Shortness of breath or wheezing
Runny nose
Constriction of airways
Swelling of the throat that makes it difficult to breathe
A severe drop in blood pressure (shock)
Rapid pulse
Dizziness, lightheadedness or loss of consciousness
 The most common cause of peanut allergy is eating peanuts or peanut-containing foods. Sometimes direct skin contact with peanuts can trigger an allergic reaction.
 This is the unintended introduction of peanuts into a product. It's generally the result of a food being exposed to peanuts during processing or handling.
 An allergic reaction may occur if you inhale dust or aerosols containing peanuts, from a source such as peanut flour or peanut oil cooking spray.
 Food allergies are most common in children, especially toddlers and infants. As you grow older, your digestive system matures, and your body is less likely to react to food that triggers allergies.
 Some children with peanut allergy outgrow it. However, even if you seem to have outgrown peanut allergy, it may recur.
 If you're already allergic to one food, you may be at increased risk of becoming allergic to another. Likewise, having another type of allergy, such as hay fever, increases your risk of having a food allergy.
 You're at increased risk of peanut allergy if other allergies, especially other types of food allergies, are common in your family.
 Some people with the skin condition atopic dermatitis (eczema) also have a food allergy.
"
Latex allergy,"Itching
Skin redness
Hives or rash
Sneezing
Runny nose
Itchy, watery eyes
Scratchy throat
Difficulty breathing
Wheezing
Cough
Difficulty breathing
Hives or swelling
Nausea and vomiting
Wheezing
Drop in blood pressure
Dizziness
Loss of consciousness
Confusion
Rapid or weak pulse
 The most common cause of latex allergy involves touching latex-containing products, including latex gloves, condoms and balloons.
 Latex products, especially gloves, release latex particles. You can breathe in these particles when they become airborne. The amount of airborne latex from gloves differs greatly depending on the brand of glove used.
 This reaction results from the chemical additives used during manufacturing. The main symptom is a skin rash with formation of blisters 24 to 48 hours after exposure, similar to poison ivy.
 Not an allergy, this skin irritation is caused by wearing rubber gloves or exposure to the powder inside them. Symptoms include dry, itchy, irritated areas, usually on the hands.
 The risk of latex allergy is highest in people with spina bifida — a birth defect that affects the development of the spine. People with this disorder often are exposed to latex products through early and frequent health care. People with spina bifida should always avoid latex products.
 Repeated exposure to latex gloves and medical products increases your risk of developing latex allergy.
 If you work in health care, you're at increased risk of developing a latex allergy.
 Repeated exposure to latex may increase sensitivity.
 You're at increased risk of latex allergy if you have other allergies — such as hay fever or a food allergy — or they're common in your family.
Avocado
Banana
Chestnut
Kiwi
Passion fruit
"
Hay fever,"Runny nose and nasal stuffiness (congestion)
Watery, itchy, red eyes (allergic conjunctivitis)
Sneezing
Cough
Itchy nose, roof of mouth or throat
Mucus that runs down the back of your throat (postnasal drip)
Swollen, bruised-appearing skin under the eyes (allergic shiners)
Extreme tiredness (fatigue), often due to poor sleep
Tree pollen, which is common in early spring
Grass pollen, which is common in late spring and summer
Ragweed pollen, which is common in fall
Dust mites and cockroach droppings, which are present year-round
Dander from pets, which can be bothersome year-round but might cause worse symptoms in winter, when houses are closed up
Spores from indoor and outdoor fungi and molds, which can be both seasonal and year-round
You can't find relief from your hay fever symptoms
Allergy medications don't provide relief or cause annoying side effects
You have another condition that can worsen hay fever symptoms, such as nasal polyps, asthma or frequent sinus infections
Having other allergies or asthma
Having a condition called atopic dermatitis or eczema, which makes your skin irritated and itchy
Having a blood relative, such as a parent or sibling, with allergies or asthma
Living or working in an environment that constantly exposes you to allergens — such as animal dander or dust mites
Being exposed to smoke and strong odors that irritate the lining of the nose
Having a mother who smoked during your first year of life
 Hay fever can interfere with your enjoyment of activities and cause you to be less productive. For many people, hay fever symptoms lead to missing work or school.
 Hay fever symptoms can keep you awake or make it hard to stay asleep. This can lead to fatigue and a general feeling of being unwell (malaise).
 Hay fever can worsen symptoms of asthma, such as coughing and wheezing.
 Prolonged sinus congestion due to hay fever may increase your risk of getting sinusitis — an infection or inflammation of the membrane that lines the sinuses.
 In children, hay fever often is a factor in middle ear infection (otitis media).
"
Food allergy,"Tingling or itching in the mouth.
Hives, itching or eczema.
Swelling of the lips, face, tongue, and throat or other parts of the body.
Wheezing, nasal congestion or trouble breathing.
Belly pain, diarrhea, nausea or vomiting.
Dizziness, lightheadedness or fainting.
Constriction and tightening of the airways.
A swollen throat or the sensation of a lump in your throat that makes it hard to breathe.
Shock with a severe drop in blood pressure.
Rapid pulse.
Dizziness, lightheadedness or loss of consciousness.
Constriction of airways that makes it difficult to breathe.
Shock with a severe drop in blood pressure.
Rapid pulse.
Dizziness or lightheadedness.
Crustacean shellfish, such as shrimp, lobster and crab.
Peanuts.
Tree nuts, such as walnuts and pecans.
Fish.
Chicken eggs.
Cow's milk.
Wheat.
Soy.
 You may not have adequate amounts of some enzymes needed to digest certain foods. Insufficient amounts of the enzyme lactase, for example, reduce your ability to digest lactose, the main sugar in milk products. Lactose intolerance can cause bloating, cramping, diarrhea and excess gas.
 Sometimes food poisoning can mimic an allergic reaction. Bacteria in spoiled tuna and other fish also can make a toxin that triggers harmful reactions.
 Some people have digestive reactions and other symptoms after eating certain food additives. For example, sulfites used to preserve dried fruit, canned goods and wine can trigger asthma attacks in people with sensitivity to food additives.
 Certain fish, such as tuna or mackerel, that are not refrigerated properly and that contain high amounts of bacteria also may contain high levels of histamine that trigger symptoms similar to those of food allergy. Rather than an allergic reaction, this is known as histamine toxicity or scombroid poisoning.

    

    

    

    
 You're at increased risk of food allergies if asthma, eczema, hives or allergies such as hay fever are common in your family.
 If you're already allergic to one food, you may be at increased risk of becoming allergic to another. Similarly, if you have other types of allergic reactions, such as hay fever or eczema, your risk of having a food allergy is greater.

    

    

    
 Asthma and food allergy commonly occur together. When they do, both food allergy and asthma symptoms are more likely to be severe.
Having a history of asthma.
Being a teenager or younger.
Delaying use of epinephrine to treat your food allergy symptoms.
Not having hives or other skin symptoms.
 This is a life-threatening allergic reaction.
 Food allergy may cause a skin reaction, such as eczema.
 Be sure to read food labels carefully.
 wear a medical alert bracelet or necklace that lets others know that you have a food allergy in case you have a reaction and you're unable to communicate.
 You may need to carry an epinephrine autoinjector (Adrenaclick, EpiPen) if you're at risk of a severe allergic reaction.

    

    

    
 If necessary, take a cooler packed with allergen-free foods when you travel or go to an event. If you or your child can't have the cake or dessert at a party, bring an approved special treat so no one feels left out of the celebration.
 Talk with child care providers, school personnel, parents of your child's friends and other adults who regularly interact with your child. Emphasize that an allergic reaction can be life-threatening and requires immediate action. Make sure that your child also knows to ask for help right away if your child reacts to food.
 Teach the adults who spend time with your child how to recognize signs and symptoms of an allergic reaction.
 Your plan should describe how to care for your child when your child has an allergic reaction to food. Provide a copy of the plan to your child's school nurse and others who care for and supervise your child.
 This alert lists your child's allergy symptoms and explains how others can provide first aid in an emergency.
"
Allergies,"Sneezing
Itching of the nose, eyes or roof of the mouth
Runny, stuffy nose
Watery, red or swollen eyes (conjunctivitis)
Tingling in the mouth
Swelling of the lips, tongue, face or throat
Hives
Anaphylaxis
A large area of swelling (edema) at the sting site
Itching or hives all over the body
Cough, chest tightness, wheezing or shortness of breath
Anaphylaxis
Hives
Itchy skin
Rash
Facial swelling
Wheezing
Anaphylaxis
Itch
Redden
Flake or peel
Loss of consciousness
A drop in blood pressure
Severe shortness of breath
Skin rash
Lightheadedness
A rapid, weak pulse
Nausea and vomiting
 such as pollen, animal dander, dust mites and mold
 particularly peanuts, tree nuts, wheat, soy, fish, shellfish, eggs and milk
 such as from a bee or wasp
 particularly penicillin or penicillin-based antibiotics
 which can cause allergic skin reactions
 such as hay fever, hives or eczema
 or another allergic condition
 If you have severe allergies, you're at increased risk of this serious allergy-induced reaction. Foods, medications and insect stings are the most common triggers of anaphylaxis.
 If you have an allergy, you're more likely to have asthma — an immune system reaction that affects the airways and breathing. In many cases, asthma is triggered by exposure to an allergen in the environment (allergy-induced asthma).
 Your risk of getting these conditions is higher if you have hay fever or asthma.
 Even if you're treating your allergy symptoms, try to avoid triggers. If, for instance, you're allergic to pollen, stay inside with windows and doors closed when pollen is high. If you're allergic to dust mites, dust and vacuum and wash bedding often.
 When trying to identify what causes or worsens your allergic symptoms, track your activities and what you eat, when symptoms occur and what seems to help. This may help you and your provider identify triggers.
 If you've had a severe allergic reaction, a medical alert bracelet (or necklace) lets others know that you have a serious allergy in case you have a reaction and you're unable to communicate.
"
Alcoholic hepatitis,"Loss of appetite.
Nausea and vomiting.
Belly tenderness.
Fever, often low grade.
Tiredness and weakness.
Fluid buildup in the belly, called ascites.
Being confused and acting oddly due to a buildup of toxins. The healthy liver breaks these toxins down and gets rid of them.
Kidney and liver failure.
Have symptoms of alcoholic hepatitis.
Can't control your drinking.
Want help cutting back on your drinking.
The body's way of breaking down alcohol makes highly toxic chemicals.
These chemicals trigger swelling, called inflammation, that destroys liver cells.
Over time, scars replace healthy liver tissue. This keeps the liver from working well.
This scarring, called cirrhosis, can't be fixed. It's the final stage of alcoholic liver disease.
 Alcoholic hepatitis can make chronic liver diseases worse. For instance, if you have hepatitis C and drink, even a little, you're more likely to get liver scarring than if you don't drink.
 Many people who drink heavily don't get enough nutrients because they eat poorly. And alcohol keeps the body from using nutrients as it should. Lack of nutrients can damage liver cells.
 Women seem to have a higher risk of getting alcoholic hepatitis. That might be because of how alcohol breaks down in women's bodies.
 Heavy drinkers who are overweight might be more likely to get alcoholic hepatitis. And they might be more likely to go on to get liver scarring.
 Studies suggest that genes might be involved in alcohol-induced liver disease.
 Black and Hispanic people might be at higher risk of alcoholic hepatitis.
 Having five or more drinks in about two hours for men and four or more for women might increase the risk of alcoholic hepatitis.

    

    

    
 Fluid that builds up in the belly might get infected and need treatment with antibiotics. Ascites isn't life-threatening. But it most often means advanced alcoholic hepatitis or cirrhosis.
 A damaged liver has trouble removing toxins from the body. The buildup of toxins can damage the brain. Severe hepatic encephalopathy can cause a coma.
 A damaged liver can affect blood flow to the kidneys. This can damage the kidneys.
 This scarring of the liver can lead to liver failure.
 For healthy adults, moderate drinking means up to one drink a day for women and up to two drinks a day for men. The only certain way to prevent alcoholic hepatitis is to avoid all alcohol.
 Hepatitis C is a liver disease caused by a virus. Without treatment, it can lead to cirrhosis. If you have hepatitis C and drink alcohol, you're far more likely to get cirrhosis than if you don't drink.

    

    

    
"
Adjustment disorders,"Feeling sad, hopeless or not enjoying things you used to enjoy.
Crying often.
Worrying, or feeling anxious, nervous, jittery or stressed out.
Feeling irritable or like you can't handle anything and don't know where to start.
Having trouble sleeping.
Not eating enough.
Having difficulty concentrating.
Having difficulty with daily activities.
Withdrawing from family and friends who support you socially.
Not doing important things, such as going to work or paying bills.
Thinking about suicide or acting on those thoughts.
In the U.S., call or text 988 to reach the 
. It's available 24 hours a day, every day. Or use the 
. Services are free and private.
U.S. veterans or service members who are in crisis can call 988 and then press ""1"" for the 
. Or text 838255. Or 
.
The Suicide & Crisis Lifeline in the U.S. has a Spanish-language phone line at 
 (toll-free).
Major stress as a child, such as bullying or difficulties with school.
Divorce or marriage problems.
Relationship problems or trouble getting along with others.
Major changes in life, such as retirement, having a baby or moving away.
Bad experiences, such as losing a job, loss of a loved one or having money problems.
Problems in school or at work.
Life-threatening experiences, such as physical assault, combat or natural disaster.
Ongoing stressors, such as having a medical illness or living in a neighborhood that has a lot of crime.
More than one major change or bad experience happening at the same time.
Other mental health conditions, such as major depression, intense anxiety or post-traumatic stress disorder.
"
Adult attention-deficit/hyperactivity disorder (ADHD),"Impulsiveness
Disorganization and problems prioritizing
Poor time management skills
Problems focusing on a task
Trouble multitasking
Excessive activity or restlessness
Poor planning
Low frustration tolerance
Frequent mood swings
Problems following through and completing tasks
Hot temper
Trouble coping with stress
 
 can run in families, and studies indicate that genes may play a role.
 Certain environmental factors also may increase risk, such as lead exposure as a child.
 Problems with the central nervous system at key moments in development may play a role.
You have blood relatives, such as a parent or sibling, with 
 or another mental health disorder
Your mother smoked, drank alcohol or used drugs during pregnancy
As a child, you were exposed to environmental toxins — such as lead, found mainly in paint and pipes in older buildings
You were born prematurely
Poor school or work performance
Unemployment
Financial problems
Trouble with the law
Alcohol or other substance misuse
Frequent car accidents or other accidents
Unstable relationships
Poor physical and mental health
Poor self-image
Suicide attempts
 Many adults with 
 also have depression, bipolar disorder or another mood disorder. While mood problems aren't necessarily due directly to 
, a repeated pattern of failures and frustrations due to 
 can worsen depression.
 Anxiety disorders occur fairly often in adults with 
. Anxiety disorders may cause overwhelming worry, nervousness and other symptoms. Anxiety can be made worse by the challenges and setbacks caused by 
.
 Adults with 
 are at increased risk of other psychiatric disorders, such as personality disorders, intermittent explosive disorder and substance use disorders.
 Adults with 
 may score lower on academic testing than would be expected for their age, intelligence and education. Learning disabilities can include problems with understanding and communicating.
"
Nicotine dependence," You've made one or more serious, but unsuccessful, attempts to stop.
 Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea.
 Even though you've developed health problems with your lungs or your heart, you haven't been able to stop.
 You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations.
Drinking coffee or taking breaks at work
Talking on the phone
Drinking alcohol
Driving your car
Spending time with friends
 Most people begin smoking during childhood or the teen years. The younger you are when you begin smoking, the greater the chance that you'll become addicted.
 The likelihood that you will start smoking and keep smoking may be partly inherited. Genetic factors may influence how receptors on the surface of your brain's nerve cells respond to high doses of nicotine delivered by cigarettes.
 Children who grow up with parents who smoke are more likely to become smokers. Children with friends who smoke are also more likely to try it.
 Many studies show an association between depression and smoking. People who have depression, schizophrenia, post-traumatic stress disorder or other forms of mental illness are more likely to be smokers.
 People who abuse alcohol and illegal drugs are more likely to be smokers.
 Smoking is the leading cause of lung cancer deaths. In addition, smoking causes lung diseases, such as emphysema and chronic bronchitis. Smoking also makes asthma worse.
 Smoking increases the risk of many types of cancer, including cancer of the mouth, throat (pharynx), esophagus, larynx, bladder, pancreas, kidney, cervix and some types of leukemia. Overall, smoking causes 30% of all cancer deaths.
 Smoking increases your risk of dying of heart and blood vessel (cardiovascular) disease, including heart attacks and strokes. If you have heart or blood vessel disease, such as heart failure, smoking worsens your condition.
 Smoking increases insulin resistance, which can set the stage for type 2 diabetes. If you have diabetes, smoking can speed the progress of complications, such as kidney disease and eye problems.
 Smoking can increase your risk of serious eye problems such as cataracts and loss of eyesight from macular degeneration.
 Smoking increases the risk of reduced fertility in women and the risk of impotence in men.
 Mothers who smoke while pregnant face a higher risk of preterm delivery and giving birth to lower birth weight babies.
 Smokers are more prone to respiratory infections, such as colds, the flu and bronchitis.
 Smoking is associated with an increased risk of developing inflammation of the gum and a serious gum infection that can destroy the support system for teeth (periodontitis).
"
Mesenteric lymphadenitis,"Pain in the stomach area, often on the lower right side, but the pain can be more spread out.
General tenderness of the stomach area.
Fever.
Enlarged mesenteric lymph nodes.
Diarrhea.
Nausea and vomiting.
Sudden, severe pain in the stomach area.
Stomach area pain with fever.
Stomach area pain with diarrhea or vomiting.
Tenderness to touch of the stomach area.
Bloody or maroon-colored stool.
Has a change in bowel habits.
Has a loss of appetite.
Is not able to sleep.
Viral or bacterial gastroenteritis.
Inflammatory bowel disease.
Lymphoma.
"
Attention-deficit/hyperactivity disorder (ADHD) in children," The majority of symptoms fall under inattention.
 The majority of symptoms are hyperactive and impulsive.
 This is a mix of inattentive symptoms and hyperactive/impulsive symptoms.
Fail to pay close attention to details or make careless mistakes in schoolwork
Have trouble staying focused in tasks or play
Appear not to listen, even when spoken to directly
Have difficulty following through on instructions and fail to finish schoolwork or chores
Have trouble organizing tasks and activities
Avoid or dislike tasks that require focused mental effort, such as homework
Lose items needed for tasks or activities, for example, toys, school assignments, pencils
Be easily distracted
Forget to do some daily activities, such as forgetting to do chores
Fidget with or tap his or her hands or feet, or squirm in the seat
Have difficulty staying seated in the classroom or in other situations
Be on the go, in constant motion
Run around or climb in situations when it's not appropriate
Have trouble playing or doing an activity quietly
Talk too much
Blurt out answers, interrupting the questioner
Have difficulty waiting for his or her turn
Interrupt or intrude on others' conversations, games or activities
Blood relatives, such as a parent or sibling, with 
 or another mental health disorder
Exposure to environmental toxins — such as lead, found mainly in paint and pipes in older buildings
Maternal drug use, alcohol use or smoking during pregnancy
Premature birth
Often struggle in the classroom, which can lead to academic failure and judgment by other children and adults
Tend to have more accidents and injuries of all kinds than do children who don't have 
Tend to have poor self-esteem
Are more likely to have trouble interacting with and being accepted by peers and adults
Are at increased risk of alcohol and drug abuse and other delinquent behavior
 generally defined as a pattern of negative, defiant and hostile behavior toward authority figures
 marked by antisocial behavior such as stealing, fighting, destroying property, and harming people or animals
 characterized by irritability and problems tolerating frustration
 including problems with reading, writing, understanding and communicating
 including drugs, alcohol and smoking
 which may cause overwhelming worry and nervousness, and include obsessive compulsive disorder (OCD)
 including depression and bipolar disorder, which includes depression as well as manic behavior
 a condition related to brain development that impacts how a person perceives and socializes with others
 disorders that involve repetitive movements or unwanted sounds (tics) that can't be easily controlled
 avoid anything that could harm fetal development. For example, don't drink alcohol, use recreational drugs or smoke cigarettes.
 including cigarette smoke and lead paint.
 Although still unproved, it may be prudent for children to avoid excessive exposure to TV and video games in the first five years of life.
"
Addison's disease,"Extreme fatigue
Weight loss and loss of appetite
Areas of darkened skin
Low blood pressure, even fainting
Salt craving
Low blood sugar, also called hypoglycemia
Nausea, diarrhea or vomiting
Abdominal pain
Muscle and joint pain
Irritability
Depression
Body hair loss or sexual issues in some people
Severe weakness
Confusion
Pain in the lower back or legs
Severe abdominal pain, vomiting and diarrhea, leading to dehydration
Reduced consciousness or delirium
Low blood pressure
Darkened areas of skin
Extreme loss of body water, also known as dehydration
Severe fatigue
Weight loss that doesn't happen on purpose
Nausea, vomiting or belly pain
Lightheadedness or fainting
Salt cravings
Muscle or joint pains
 These hormones, including cortisol, affect the body's ability to turn food into energy. They also play a role in the immune system's inflammatory response and help the body respond to stress.
 These hormones, including aldosterone, balance the body's sodium and potassium to keep blood pressure in a healthy range.
 In all people, the adrenal glands make small amounts of these sex hormones. They cause male sexual development. And they affect muscle mass, sex drive, known as libido, and a sense of well-being in all people.
Tuberculosis
Other infections of the adrenal glands
Spread of cancer to the adrenal glands
Bleeding into the adrenal glands

    

    

    
 People with Addison's disease often have related autoimmune diseases.
Talk to your health care provider if you always feel tired or weak or are losing weight without trying. Ask about an adrenal shortage.
If you have been diagnosed with Addison's disease, ask your provider what to do when you're sick. You may need to learn how to increase your dose of corticosteroids.
If you become very sick, especially if you are vomiting and you can't take your medicine, go to an emergency room.
"
Frozen shoulder," Any movement of the shoulder causes pain, and the shoulder's ability to move becomes limited. This stage lasts from 2 to 9 months.
 Pain might lessen during this stage. However, the shoulder becomes stiffer. Using it becomes more difficult. This stage lasts from 4 to 12 months.
 The shoulder's ability to move begins to improve. This stage lasts from 5 to 24 months.
Rotator cuff injury
Broken arm
Stroke
Recovery from surgery
Diabetes 
Overactive thyroid (hyperthyroidism)
Underactive thyroid (hypothyroidism)
Cardiovascular disease
Parkinson's disease
"
Radiation sickness,"Nausea and vomiting
Diarrhea
Headache
Fever
Dizziness and disorientation
Weakness and fatigue
Hair loss
Bloody vomit and stools from internal bleeding
Infections
Low blood pressure
An accident at a nuclear industrial facility
An attack on a nuclear industrial facility
Detonation of a small radioactive device
Detonation of a conventional explosive device that disperses radioactive material (dirty bomb)
Detonation of a standard nuclear weapon
Experiencing a radioactive accident or attack
Mourning friends or family who haven't survived
Dealing with the uncertainty of a mysterious and potentially fatal illness
Worrying about the eventual risk of cancer due to radiation exposure
Close and lock all doors and windows.
Turn off fans, air conditioners and heating units that bring air in from outside.
Close fireplace dampers.
Bring pets indoors.
Move to an inner room or basement.
Stay tuned to your emergency response network or local news.
Stay put for at least 24 hours.
Flashlight
Portable radio
Batteries
First-aid kit
Necessary medicines
Sealed food, such as canned foods, and bottled water
Manual can opener
Cash and credit cards
Extra clothes
"
